PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Duncan Robinson,DET,DET vs. CHI,11/12/2025,W,28,23,8,13,61.5,7,10,70,0,0,-,0,2,2,1,1,0,1,6,20,28.9
Bobi Klintman,DET,DET vs. CHI,11/12/2025,W,14,6,2,7,28.6,2,6,33.3,0,0,-,0,6,6,1,0,0,2,3,-11,12.7
Ayo Dosunmu,CHI,CHI @ DET,11/12/2025,L,22,12,4,12,33.3,2,6,33.3,2,2,100,0,3,3,2,2,0,4,3,-3,20.6
Patrick Williams,CHI,CHI @ DET,11/12/2025,L,24,7,3,8,37.5,0,4,0,1,2,50,4,1,5,1,1,1,3,2,-9,17.5
PJ Hall,MEM,MEM @ BOS,11/12/2025,L,7,4,2,4,50,0,1,0,0,1,0,1,2,3,1,0,0,0,0,-5,9.1
Chaz Lanier,DET,DET vs. CHI,11/12/2025,W,18,6,1,4,25,1,4,25,3,3,100,0,1,1,1,0,0,0,2,-4,8.7
Jericho Sims,MIL,MIL @ CHA,11/12/2025,L,18,2,1,2,50,0,0,-,0,0,-,2,5,7,2,0,0,1,1,-8,12.4
Kentavious Caldwell-Pope,MEM,MEM @ BOS,11/12/2025,L,19,0,0,3,0,0,3,0,0,0,-,1,2,3,3,1,0,1,2,-25,10.1
Guerschon Yabusele,NYK,NYK vs. ORL,11/12/2025,L,5,6,2,3,66.7,2,3,66.7,0,0,-,0,0,0,1,1,0,0,0,-4,10.5
Tristan da Silva,ORL,ORL @ NYK,11/12/2025,W,22,8,3,5,60,1,3,33.3,1,2,50,1,4,5,2,0,0,1,2,22,16
Moussa Diabaté,CHA,CHA vs. MIL,11/12/2025,W,23,7,1,3,33.3,0,0,-,5,6,83.3,8,5,13,2,1,1,1,2,-8,30.6
Cole Anthony,MIL,MIL @ CHA,11/12/2025,L,15,4,2,12,16.7,0,2,0,0,0,-,0,2,2,3,0,0,0,2,-18,10.9
Franz Wagner,ORL,ORL @ NYK,11/12/2025,W,37,28,10,22,45.5,2,7,28.6,6,8,75,1,8,9,4,2,1,0,2,21,53.8
Josh Hart,NYK,NYK vs. ORL,11/12/2025,L,18,10,4,10,40,1,5,20,1,1,100,1,2,3,2,1,1,3,2,-16,19.6
Hugo González,BOS,BOS vs. MEM,11/12/2025,W,8,0,0,2,0,0,0,-,0,0,-,0,1,1,0,0,1,1,1,-1,3.2
Isaac Okoro,CHI,CHI @ DET,11/12/2025,L,32,15,5,7,71.4,2,2,100,3,4,75,2,2,4,2,0,3,1,2,-5,30.8
